DateTimeOccurred,Status,DateTimeReported,Code,Location,Comments,Filename
2016-05-31 12:21:00,OPEN,2016-10-20 12:06:10,LARCENY,W51 / 410 MEMORIAL DR,Walk in report of a box stolen from storage in Burton Conner. ,
2016-10-21 04:20:00,CLOSED,2016-10-21 04:24:40,TRESPASS,M32 / 32 VASSAR ST,Report of an individual sleeping in a classroom. This individual had no affiliation with MIT and was issued a verbal trespass notice. ,
2016-10-20 13:45:00,CLOSED,2016-10-21 14:08:44,SIMPLE ASSAULT,AMES ST & MAIN ST,Report of an altercation between contractors that escalated into a simple assault. ,
2016-05-07 00:00:00,CLOSED,2016-10-21 14:30:40,CONFIDENTIAL SEXUAL ASSAULT REPORT,W89 / 301 VASSAR ST,Confidential sexual assault report. ,
2016-10-21 13:30:00,OPEN,2016-10-21 15:45:00,LARCENY,NW14 / 150 ALBANY ST,Reporting party states his locked bike was stolen from the No Parking Sign on the sidewalk. ,
2016-10-22 12:40:00,OPEN,2016-10-22 17:10:51,LARCENY,M7 / 77 MASSACHUSETTS AVE,Reporting party states her unlocked bike was stolen from the bike racks. ,
2016-10-23 13:19:00,CLOSED,2016-10-23 13:19:15,SUSPICIOUS,M16 / 21 AMES ST ,Reporting party states an unknown individual entered his office and left when being confronted. ,
2016-10-23 11:30:00,OPEN,2016-10-23 14:41:44,LARCENY,W16 / 48 MASSACHUSETTS AVE,Reporting party states her wallet was stolen from her purse. ,
2016-10-23 11:30:00,OPEN,2016-10-23 15:05:24,LARCENY,W16 / 48 MASSACHUSETTS AVE,Reporting party states her wallet was stolen from her purse. ,
2016-10-24 01:16:00,CLOSED,2016-10-24 01:16:18,DISORDERLY CONDUCT,W98 / 600 MEMORIAL DR,Car 284 reports debris from the Hyatt upper floors were thrown at the cruiser. ,
2016-10-22 21:39:00,OPEN,2016-10-24 21:39:59,LARCENY,483 COMMONWEALTH AVE,Reporting party states his jacket was stolen. ,
2015-03-07 00:00:00,OPEN,2016-10-25 11:16:11,CONFIDENTIAL SEXUAL ASSAULT REPORT,MAIN GROUP ,Confidential sexual assault report. ,
2016-09-14 00:00:00,CLOSED,2016-10-26 12:31:56,CONFIDENTIAL SEXUAL ASSAULT REPORT,W89 / 301 VASSAR ST,Past report of sexual assault. ,
2016-10-04 00:00:00,CLOSED,2016-10-27 10:12:07,DOMESTIC VIOLENCE,W89 / 301 VASSAR ST,Past report of domestic violence. ,
2016-10-28 00:17:00,CLOSED,2016-10-28 00:17:32,SUSPICIOUS PERSON,W20 / 84 MASSACHUSETTS AVE,Sector 4 off with subject. Checked out ok but subject  would not identify himself to sector officer. ,
2016-10-28 00:17:00,CLOSED,2016-10-28 00:17:32,SUSPICIOUS PERSON,W20 / 84 MASSACHUSETTS AVE,Sector 4 off with subject. Checked out ok but subject  would not identify himself to sector officer. ,
2016-10-27 13:30:00,OPEN,2016-10-28 08:07:55,LARCENY,W16 / 48 MASSACHUSETTS AVE,Reporting party states her wallet was missing from her  bag. ,
2016-10-27 22:45:00,OPEN,2016-10-28 16:30:46,LARCENY,W20 / 84 MASSACHUSETTS AVE,Reporting party states the kitchen scale was stolen.  ,
2016-10-27 22:45:00,OPEN,2016-10-28 16:30:46,LARCENY,W20 / 84 MASSACHUSETTS AVE,Reporting party states the kitchen scale was stolen.  ,
2016-10-29 00:42:00,CLOSED,2016-10-29 00:42:04,TRESPASS,W20 / 84 MASSACHUSETTS AVE,Officer on routine patrol observed an individual sleeping  in a chair. This individual had no affiliation with MIT and was issued a verbal trespass warning. ,
2016-10-29 00:42:00,CLOSED,2016-10-29 00:42:04,TRESPASS,W20 / 84 MASSACHUSETTS AVE,Officer on routine patrol observed an individual sleeping  in a chair. This individual had no affiliation with MIT and was issued a verbal trespass warning. ,
2016-10-29 04:14:00,CLOSED,2016-10-29 04:14:55,TRESPASS,M5 / 55 MASSACHUSETTS AVE,Reporting party states an individual was sleeping in the  bathroom. This individual had no affiliation with MIT and was issued a verbal trespass warning ,
2016-10-29 04:14:00,CLOSED,2016-10-29 04:14:55,TRESPASS,M5 / 55 MASSACHUSETTS AVE,Reporting party states an individual was sleeping in the  bathroom. This individual had no affiliation with MIT and was issued a verbal trespass warning ,
2016-10-30 17:00:00,OPEN,2016-10-30 19:35:22,LARCENY,M32 / 32 VASSAR ST,Reporting party states his bike was stolen. ,
2016-10-30 17:00:00,OPEN,2016-10-30 19:35:22,LARCENY,M32 / 32 VASSAR ST,Reporting party states his bike was stolen. ,
2016-10-26 17:40:00,OPEN,2016-10-31 20:58:56,LARCENY,M64 / 21 AMES ST ,Reporting party states his locked bike was stolen from the bike rack. ,
2016-10-30 12:00:00,OPEN,2016-11-01 12:35:59,LARCENY,M76 / 476 MAIN ST,Reporting party states his locked bike was stolen from a bike rack. ,
2016-11-01 17:45:00,OPEN,2016-11-01 18:25:03,LARCENY,NW30 / 224 ALBANY ST,Reporting party states her unlocked bike was stolen from a bike rack. ,
2016-11-02 17:00:00,OPEN,2016-11-02 19:27:37,LARCENY,M14 / 160 MEMORIAL DR,Reporting party states that his backpack was stolen. ,
2016-11-03 12:40:00,CLOSED,2016-11-03 12:48:32,ANNOYING OR HARASSING PHONE CALLS,M7 / 77 MASSACHUSETTS AVE,Reporting party states she has received   multiple offensive phone calls. ,
2016-11-03 14:08:00,CLOSED,2016-11-03 14:08:28,TRESPASS,W20 / 84 MASSACHUSETTS AVE,Two individuals were issued verbal trespass warnings. ,
2016-11-04 14:15:00,OPEN,2016-11-04 15:56:25,LARCENY,M13 / 105 REAR MASSACHUSETTS AVE,"Caller reports that someone left a lab door  unsecured and as a result, multiple personal items were stolen. ",
2016-11-04 20:15:00,CLOSED,2016-11-04 20:15:48,TRESPASS,M32 / 32 VASSAR ST,Reporting party states an individual has been sleeping in the common area. This individual was issued a verbal trespass warning. ,
2016-11-04 20:45:00,CLOSED,2016-11-04 23:25:24,LARCENY,M7 / 77 MASSACHUSETTS AVE,Reporting party states his locked bike was stolen  from the bike rack. ,
2016-11-05 11:00:00,OPEN,2016-11-05 15:46:05,BREAKING & ENTERING,NW86 / 70 PACIFIC ST,Reporting party states her laptop was stolen from her unlocked room. ,
2016-11-05 16:10:00,CLOSED,2016-11-05 16:14:50,TRESPASS,M6 / 182 MEMORIAL DR,Skateboarders riding on the property that had been asked to leave the Collier Memorial earlier in the day for the same reason. All were verbally trespassed. ,
2016-09-05 17:48:00,OPEN,2016-11-05 17:48:16,LARCENY,E55 / 60 WADSWORTH ST,Reporting party states his locked bike was stolen from the bike area. ,
2016-11-05 21:00:00,OPEN,2016-11-06 14:47:47,LARCENY,NW86 / SIDNEY- PACIFIC ST,Reporting party states his locked bike was stolen from the bike rack. ,
2016-10-31 09:35:00,OPEN,2016-11-07 09:05:52,LARCENY,NW35 / 235 ALBANY ST,Reporting party states mail was taken from the mailbox. ,
2016-11-06 11:30:00,OPEN,2016-11-07 13:25:28,LARCENY,M54 / 21 AMES ST ,Reporting party states the front tire was stolen off his bike. ,
2016-11-07 21:56:00,OPEN,2016-11-07 21:56:02,LARCENY,M5 / 55 MASSACHUSETTS AVE,Reporting party states his bike was stolen. ,
2016-10-31 15:30:00,OPEN,2016-11-08 14:13:54,LARCENY,M9 / 105 MASSACHUSETTS AVE,Reporting party states that medication was stolen from his office. ,
2016-11-08 14:36:00,OPEN,2016-11-08 14:36:10,LARCENY,E53 / 30 WADSWORTH ST,"Reporting party states that she left her laptop unattended in the Dewey Library and when she returned, her laptop was missing. ",
2016-10-30 05:00:00,OPEN,2016-11-08 21:45:05,BREAKING & ENTERING,WILG / 355 MASSACHUSETTS AVE,Reporting party states there was an intrusion at this location. ,
2016-11-04 17:30:00,OPEN,2016-11-09 09:34:46,LARCENY,WW15 / 350 BROOKLINE ST,Reporting party states his locked bike was stolen. ,
2016-11-08 13:30:00,OPEN,2016-11-09 13:34:41,LARCENY,M1 / 33 MASS AVE,Reporting party states his locked bike was stolen. ,
2016-06-01 08:00:00,CLOSED,2016-11-10 13:04:00,MALICIOUS DESTRUCTION OF PROPERTY,E19 / 400 MAIN ST,Reporting party states that someone vandalized the   window blinds. ,
2016-11-10 09:00:00,CLOSED,2016-11-10 17:12:23,LARCENY,W70 / 471 MEMORIAL DR,Reporting party states his MacBook Pro laptop was stolen. The laptop was recovered on 11/11/16. ,
2016-11-10 15:00:00,OPEN,2016-11-10 21:44:19,LARCENY,M4 / 182 MEMORIAL DR,"Reporting party states her iPhone 5, debit card, and driver’s license were stolen. ",
2016-11-08 05:22:00,OPEN,2016-11-11 09:35:18,LARCENY FROM TRUCK,W20 / 84 MASSACHUSETTS AVE,20-30 cartons of cigarettes were taken from a delivery   truck. ,
2016-11-11 19:00:00,CLOSED,2016-11-11 22:02:02,LARCENY,W16 / 48 MASSACHUSETTS AVE,Reporting party states his iPhone 6 was stolen. The cell phone was later returned to him. ,
2016-11-12 08:40:00,CLOSED,2016-11-12 08:51:47,TRESPASS,M7 / 77 MASSACHUSETTS AVE,An individual with no affiliation with MIT was issued a verbal trespass warning. ,
2016-11-10 23:00:00,OPEN,2016-11-12 12:11:33,LARCENY,NW35 / 235 ALBANY ST,Reporting party states wheels were stolen off her bike. ,
2016-11-12 15:53:00,OPEN,2016-11-12 15:53:06,LARCENY,M4 / 182 MEMORIAL DR,Reporting party states his backpack containing his MacBook Pro laptop was stolen. ,
2016-11-13 14:52:00,OPEN,2016-11-13 16:29:25,LARCENY,E62 / 100 MAIN ST,Reporting party states his wallet was stolen. ,
2016-11-13 16:40:00,CLOSED,2016-11-13 16:40:09,TRESPASS,E14 / 75 AMHERST ST,"Quincy Magee (32) of 110 Brandywine Drive, Marlton, NJ was arrested for trespassing. ",
2016-11-14 01:10:00,ARREST,2016-11-14 01:10:01,TRESPASS,M14 / 160 MEMORIAL DR,"Vladimir Edmond (25) of 110 Jackson Place, Cambridge was arrested for trespassing. ",
2016-11-13 17:30:00,OPEN,2016-11-14 10:21:35,LARCENY,E51 / 70 MEMORIAL DR,Reporting party states that her wallet was stolen. ,
2016-11-14 16:45:00,OPEN,2016-11-14 16:45:51,LARCENY,M62 / 21 AMES ST ,Reporting party states items were stolen from the basement. ,
2016-11-14 16:44:00,CLOSED,2016-11-14 16:49:14,SIMPLE ASSAULT,MASS AVE BRIDGE / null,Report of a simple assault on the Mass Ave. bridge. State Police took control of the scene. ,
2016-11-10 15:45:00,OPEN,2016-11-15 15:24:31,LARCENY,M26 / 60 VASSAR ST,Reporting party states her headphones were stolen from her bag. ,
2016-11-15 17:00:00,OPEN,2016-11-16 08:51:46,LARCENY,E23 / 25 CARLTON ST,Reporting party states her wallet and shoes were missing from her office. ,
2016-11-16 13:00:00,OPEN,2016-11-16 13:20:18,LARCENY,M7 / 77 MASSACHUSETTS AVE,Reporting party states his iPhone and credit cards were stolen. ,
2016-11-16 16:00:00,OPEN,2016-11-16 17:32:57,LARCENY,W20 / 84 MASSACHUSETTS AVE,Reporting party states his locked bike was stolen. ,
2016-11-15 15:00:00,OPEN,2016-11-16 18:10:44,FLIM FLAM,M33 / 125 MASSACHUSETTS AVE,Report of an internet apartment rental flim flam. ,
2016-11-17 01:13:00,CLOSED,2016-11-17 01:13:39,TRESPASS,M66 / 25 AMES ST ,Report of a suspicious male. This individual had no affiliation with MIT and was issued a verbal trespass warning. ,
2016-11-17 02:32:00,ARREST,2016-11-17 02:32:11,"BREAKING & ENTERING FOR MISDEMEANOR, TRESPASS, RESISTING ARREST",M1 / 33 MASSACHUSETTS AVE,"WARRANT   Report of an individual sleeping in the stairwell.  ARREST: Timothy Norling (58) of 28 Prescott Street A, Cambridge MA for B&E for Misdemeanor, Trespassing, Resisting Arrest, and on a Default Warrant. ",
2016-11-17 13:16:00,ARREST,2016-11-17 13:16:22,TRESPASS,M3 / 33 MASSACHUSETTS AVE,"Report of a suspicious bag. The bag belonged to an individual who had no affiliation with MIT and had been previously issued a verbal trespass warning. ARREST: Wisly ABEL (30) of 43 Home Street 3, Springfield, MA for Trespassing after notification. ",
2016-11-19 16:30:00,OPEN,2016-11-19 16:59:54,LARCENY,W33 / 100 VASSAR ST,Reporting party states clothing and keys were stolen. ,
2016-11-20 01:59:00,OPEN,2016-11-20 01:59:16,LARCENY,W51 / 410 MEMORIAL DR,Reporting party states his locked bike was stolen from the bike rack. ,
2016-11-21 06:56:00,CLOSED,2016-11-21 06:56:37,TRESPASS,E38 / 292 MAIN ST,individual had no affiliation with MIT and was issued a verbal trespass warning. ,
2016-11-21 11:10:00,OPEN,2016-11-21 12:15:45,LARCENY,E17 / 40 AMES ST ,Reporting party states her unattended laptop was stolen. Report of an individual sleeping in the lobby. This ,
2016-11-22 00:06:00,CLOSED,2016-11-22 00:06:11,TRESPASS,W20 / 84 MASSACHUSETTS AVE,Individual was issued a verbal trespass warning. ,
2016-09-30 22:00:00,CLOSED,2016-11-23 17:42:24,LARCENY,W61 / 450 MEMORIAL DR,Report of stolen LED lights from student lounge.  ,
2016-11-24 09:48:00,CLOSED,2016-11-24 09:48:00,TRESPASS,M10 / 122 MEMORIAL DR,Officer on routine patrol observed an individual sleeping.  This individual had no affiliation with MIT and was issued a verbal trespass warning. ,
2016-11-18 11:00:00,OPEN,2016-11-27 10:09:05,LARCENY,W20 / 84 MASSACHUSETTS AVE,Reporting party states a glass piece was stolen from a sculpture. ,
2016-11-28 13:57:00,CLOSED,2016-11-28 13:57:35,TRESPASS,W20 / 84 MASSACHUSETTS AVE,A report of individuals possibly attempting to scam students. Two individuals with no affiliation with MIT were issued verbal trespass warnings. ,
2016-10-01 00:00:00,CLERY CRIME STATISTIC REPORT FORM,2016-11-30 09:16:17,FONDLING,FSILG  ,Report of a past fondling incident by person known to survivor. ,
2016-12-01 15:30:00,OPEN,2016-12-01 21:00:33,LARCENY,M32 / 32 VASSAR ST,Reporting party states his locked bike was stolen from the bike rack. ,
2016-11-21 15:45:00,OPEN,2016-12-02 15:45:14,LARCENY,NW35 / 235 ALBANY ST,Report of stolen mail from dormitory. ,
2016-12-02 12:51:00,OPEN,2016-12-02 20:11:25,EXTORTION,NW10 / 143 ALBANY ST,Reporting party states he is being blackmailed. ,
2016-11-29 18:30:00,OPEN,2016-12-03 12:00:46,FLIM FLAM,E52 / 50 MEMORIAL DR,Flim flam report involving an unknown individual calling the reporting party and claiming to be a Microsoft representative charging to fix his computer. ,
2016-12-01 16:00:00,OPEN,2016-12-03 14:06:41,LARCENY,W11 / 40 MASSACHUSETTS AVE,Reporting party states her locked bike was stolen. ,
2016-11-18 17:00:00,OPEN,2016-12-03 18:29:19,LARCENY,NW30 / 224 ALBANY ST,Reporting party states his locked bike was stolen. ,
2016-11-14 08:00:00,OPEN,2016-12-05 09:21:59,LARCENY,M41 / 77 VASSAR ST,Reporting party states that a tool chest was taken from a laboratory in building 41. ,
2016-12-04 15:16:00,OPEN,2016-12-05 13:15:42,GRAFFITI,WW25 / 142 WAVERLY STREET,Officer reports seeing new graffiti on the exterior of WW25. ,
2016-12-05 21:30:00,OPEN,2016-12-05 22:14:08,EXTORTION,W61 / 450 MEMORIAL DR,Reporting party states that someone extorted money from him. ,
2016-12-06 07:30:00,OPEN,2016-12-06 11:47:24,LARCENY,W1 / 305 MEMORIAL DR,Larceny of cash from the RP's purse. clear with a report ,
2016-12-05 22:00:00,OPEN,2016-12-06 17:43:27,SUSPICIOUS,W7 / 362 MEMORIAL DR,Resident of Baker House called to report an on-going incident regarding ethnically insensitive remarks written in lounge.  Remarks had been erased prior to calling. ,
2016-12-06 18:50:00,OPEN,2016-12-06 18:59:41,LARCENY,W35 / 100 VASSAR ST,R/P reporting someone broke into her locker and took her MIT ID. ,
2016-12-08 19:43:00,CLOSED,2016-12-08 19:43:33,TRESPASS,M7 / 77 MASSACHUSETTS AVE,Report of a suspicious person in the basement.  This individual had no affiliation with MIT and was issued a verbal trespass warning. ,
2016-12-08 11:45:00,OPEN,2016-12-09 13:11:42,LARCENY,W15 / 48 MASSACHUSETTS AVE,Party came in to police station to report stolen property.  ,
2016-12-08 19:00:00,OPEN,2016-12-09 13:27:08,UNKTROUB,W89 / 301 VASSAR ST,Party reports someone using his name and creating a social media account on Twitter. ,
2016-12-09 14:00:00,OPEN,2016-12-09 16:05:59,SUSPICIOUS,M3 / 33 MASSACHUSETTS AVE,"Party states the lock to basement room was tampered with, but  nothing was stolen. ",
2016-12-07 12:00:00,OPEN,2016-12-09 20:50:45,MALICIOUS DESTRUCTION OF PROPERTY,M32 / 32 VASSAR ST,Party reports his bike was vandalized while on the bike rack. ,
2016-12-07 07:37:00,OPEN,2016-12-10 07:37:47,HARASS,M3 / 33 MASSACHUSETTS AVE,Caller states she received a harassing email a few days prior  and would like to file a report. #138 ,
2016-12-10 12:30:00,OPEN,2016-12-10 16:40:52,LARCENY,E62 / 100 MAIN ST,Report of a stolen wallet. ,
2016-12-10 18:57:00,ARREST MADE,2016-12-10 18:57:40,WARRANT SERVICE,M2 / 182 MEMORIAL DR,Officer investigating a party. Gang Wang (27) of 84 Auburn Park Cambridge MA arrested on outstanding warrant. ,
2016-12-11 20:58:00,CLOSED,2016-12-11 21:08:26,NOISE COMPLAINT,SPE / 518 BEACON STREET,Party reports reporting that tenants in 518 Beacon Street have a live band playing music inside the house creating a disturbance.  Responding officers advise residents of complaint. ,
2016-12-13 08:30:00,OPEN,2016-12-14 15:43:44,LARCENY,M7 / 77 MASSACHUSETTS AVE,Reporting party states his wallet was stolen. ,
2016-12-15 09:30:00,OPEN,2016-12-15 10:16:15,LARCENY,E51 / 50 MEMORIAL DRIVE,Reporting party states his laptop bag was stolen. ,
2016-12-14 11:25:00,OPEN,2016-12-15 10:33:26,LARCENY,NW35 / 235 ALBANY ST,Reporting party states her laptop was missing. ,
2016-12-15 13:11:00,ARREST,2016-12-15 13:11:09,WARRANT SERVICE,E19 / 400 MAIN ST,"Officer investigating a party. ARREST: Raymond Ward (38), homeless, was arrested on 2 default warrants. ",
2016-12-14 17:45:00,OPEN,2016-12-15 15:38:47,LARCENY,M4 / 182 MEMORIAL DRIVE,(REAR) Reporting party states his Apple MacBook laptop was stolen. ,
2016-12-09 23:00:00,OPEN,2016-12-15 15:41:18,LARCENY,NW10 / 143 ALBANY ST,Reporting party came into the station to report a larceny. ,
2016-12-15 21:16:00,ARREST,2016-12-15 21:16:38,WARRANT SERVICE,E52 / 50 MEMORIAL DR,"Officer investigated suspicious party in the area. ARREST: Daniel Hoecherl (28) of 150 Princeton Street 3, Boston was arrested for multiple warrants and trespassing. ",
2016-12-15 17:30:00,OPEN,2016-12-16 17:10:45,LARCENY,E62 / 100 MAIN ST,Reporting party states that there was an event at E62 and the money that they collected was stolen. ,
2016-12-16 19:30:00,OPEN,2016-12-17 07:56:13,LARCENY,E14 / 75 AMHERST ST,"Caller reports that there were 6 reports of missing wallets from E14 Media Lab event. The items were taken from a coat room at the event location. Items stolen include wallets, cash, and cards. This is the first report of larceny. ",
2016-12-17 08:47:00,OPEN,2016-12-17 08:47:49,LARCENY,E14 / 75 AMHERST ST,This is the second report of larceny from the Media Lab E14 on 12- 16-2016. ,
2016-12-16 17:00:00,OPEN,2016-12-17 09:39:15,LARCENY,E14 / 75 AMHERST ST,This is the third report of larceny from the Media Lab E14 on 12-16- 2016. ,
2016-12-16 17:00:00,OPEN,2016-12-17 09:40:44,LARCENY,E14 / 75 AMHERST ST,This is the fourth report of larceny from the Media Lab E14 on 12-16- 2016. ,
2016-12-16 17:00:00,OPEN,2016-12-17 09:42:15,LARCENY,E14 / 75 AMHERST ST,This is the fifth report of larceny from the Media Lab E14 on 12-16- 2016. ,
2016-12-16 17:00:00,OPEN,2016-12-17 09:52:26,LARCENY,E14 / 75 AMHERST ST,This is the sixth report of larceny from the Media Lab E14 on 12-16- 2016. ,
2016-12-17 16:33:00,SUMMONS,2016-12-17 16:33:59,TRESPASS,M10 / 122 MEMORIAL DR,"Officer on routine patrol observed an individual. Individual had no affiliation with MIT and had been previously trespassed. SUMMONS:  Vladimir Edmond (25) of 110 Jackson Place, Cambridge, will be summonsed for Trespassing After Notification. ",
2016-09-01 00:00:00,OPEN,2016-12-19 13:25:16,FRAUD,W89 / 301 VASSAR ST,Reporting party states his name and information were  fraudulently used to obtain credit cards. ,
2016-12-07 15:48:00,OPEN,2016-12-19 16:44:11,LARCENY,NW35 / 235 ALBANY ST,Reporting party states a package is missing.  ,
2016-12-20 11:30:00,OPEN,2016-12-20 11:30:16,SUSPICIOUS,M76 / 476 MAIN ST,Reporting party wants to report a suspicious package. ,
2016-12-20 15:34:00,OPEN,2016-12-20 15:34:34,SUSPICIOUS,E38 / 292 MAIN ST,Reporting party wants to report a suspicious package. ,
2016-11-02 09:00:00,OPEN,2016-12-21 15:56:14,LARCENY,M3 / 33 MASSACHUSETTS AVE,Reporting party states a MacBook laptop was stolen. ,
2016-12-21 21:04:00,ARREST,2016-12-21 21:04:36,TRESPASS,M14 / 160 MEMORIAL ,"Officer on routine patrol observed an individual who had been previously trespassed. ARREST: Gang Wang (27, homeless) was arrested for Trespassing. ",
2016-12-22 10:33:00,OPEN,2016-12-22 10:33:23,HIT & RUN,W91 / 570 MEMORIAL DR,PARTY REPORTED DAMAGE TO MOTOR VEHECLE ,
2016-12-22 10:30:00,OPEN,2016-12-22 18:46:31,LARCENY,E14 / 75 AMHERST ST,PARTY REPORTS THAT HER WALLET WAS STOLEN FROM THE 6TH FLOOR LOUNGE AREA. ,
2016-12-23 12:10:00,SUMMONS,2016-12-23 12:20:31,TRESPASS,M2 / 182 MEMORIAL DR,"OFFICER ENCOUNTERED NON-AFFILIATE IN CLOSED  CLASSROOM.  TRESPASS ISSUED. Officer filed a criminal complaint with Cambridge District Court. SUMMONS: Abdullahi Abdirizaq-Faarah (19) of 236 Broadway Street #3, Cambridge with Trespassing. ",
2016-12-23 12:10:00,OPEN,2016-12-23 12:20:31,TRESPASS,M2 / 182 MEMORIAL DR,OFFICER ENCOUNTERED NON-AFFILIATE IN CLOSED  CLASSROOM.  TRESPASS ISSUED. ,
2016-12-27 15:50:00,OPEN,2016-12-27 20:01:03,LARCENY,W35 / 100 VASSAR ST,"LARCENY REPORT BLDG. W35 Z-CENTER, ",
2016-12-28 00:24:00,CLOSED,2016-12-28 00:24:21,TRESPASS,W20 / 84 MASSACHUSETTS AVE,SECTOR 3/4 OFF WITH ONE SUBJECT W20/2ND FLOOR. TRESPASS ISSUED. ,
2016-12-30 09:30:00,ARREST,2016-12-30 09:48:09,TRESPASS,M10 / 122 MEMORIAL DR,"Officer encountered non-affiliate who had been previously trespassed. ARREST: Abdullahi Abdirizaq-Faarah (19) of 236 Broadway Street #3, Cambridge, MA was arrested for Trespassing. ",
2017-01-01 17:22:00,ARREST,2017-01-01 17:22:03,TRESPASS,M34 / 50 VASSAR ST,"Trespass by sector officer after notice. ARREST: August Linzel (58) of 240 Albany Street, Cambridge MA, was arrested for Trespassing ",
2017-01-03 12:57:00,CLOSED,2017-01-03 12:57:08,SUSPICIOUS,W89 / 301 VASSAR ST,ACTICTY   NO REPORTS OF RESIDENTIAL FIRES. Report of past possible check fraud.  ,
2017-01-04 00:12:00,CLOSED,2017-01-04 00:12:13,TRESPASS,W20 / 84 MASSACHUSETTS AVE,Individual with no affiliation with MIT was issued a verbal trespass warning. ,
2017-01-04 00:25:00,ARREST,2017-01-04 00:33:01,TRESPASS,W20 / 84 MASSACHUSETTS AVE,"Individual who had been previously trespassed was arrested. ARREST: Dung Nguyen (61) of 271 Harvard St. 4D, Cambridge was arrested for trespassing. ",
2017-01-06 17:45:00,ARREST,2017-01-06 18:19:06,FIREARMS ARREST,E2 / 70 AMHERST ST,"Angel De La Cruz (23) of 70 Amherst Street, Cambridge was  arrested for weapons violations. ",
2017-01-08 01:29:00,CLOSED,2017-01-08 01:29:40,TRESPASS,M16 / 21 AMES ST ,Officer on routine patrol issued a verbal trespass warning to an individual who had affiliation to MIT. ,
2017-01-09 01:28:00,ARREST,2017-01-09 01:28:25,TRESPASS,M14 / 160 MEMORIAL DR,"Report of a male sleeping in the hallway. Arrest: Matthew Bray (36) of 69 University Road, Brookline, MA was arrested for trespassing. ",
2017-01-09 09:13:00,CLOSED,2017-01-09 09:13:55,SUSPICIOUS,M2 / 182 MEMORIAL DR,Report of an individual trying to open an office door. ,
2017-01-10 02:21:00,CLOSED,2017-01-10 02:21:02,FIRE ALARM,W61 / 450 MEMORIAL DR,Unattended fire in the fire pit area. Cambridge Fire responds. ,
2017-01-09 13:00:00,OPEN,2017-01-10 10:57:13,LARCENY,W92 / 301 VASSAR ST,Reporting party states headphones are missing. ,
2017-01-10 23:20:00,CLOSED,2017-01-10 23:20:41,TRESPASS,W20 / 84 MASSACHUSETTS AVE,Non-affiliate was issued a verbal trespass warning. ,
2017-01-11 13:58:00,CLOSED,2017-01-11 13:58:37,FIELD STOP,E51 / 70 MEMORIAL DR,Caller requesting assistance with the removal of a possible homeless person in the area. ,
2017-01-11 12:25:00,OPEN,2017-01-11 14:38:30,LARCENY,E25 / 45 CARLTON ST,Reporting party states a laptop was stolen from an office. ,
2017-01-11 13:00:00,OPEN,2017-01-11 16:32:30,LARCENY,E62 / 100 MAIN ST,Reporting party states his wallet was stolen. ,
2017-01-12 05:24:00,CLOSED,2017-01-12 05:24:57,SUSPICIOUS,M32 / 32 VASSAR ST,Report of a suspicious suitcase. ,
2017-01-14 13:52:00,CLOSED,2017-01-14 14:09:29,SUSPICIOUS,E62 / 100 MAIN ST,Respond to a suspicious person. Person is gone on arrival. ,
2017-01-13 17:30:00,OPEN,2017-01-14 20:26:20,LARCENY,E51 / 70 MEMORIAL DR,Reporting party states her laptop was stolen. ,
2017-01-16 11:45:00,CLOSED,2017-01-16 13:16:15,ANNOYING EMAIL,M56 / 21 AMES ST ,Reporting party received a suspicious fax. ,
2017-01-17 19:00:00,CLOSED,2017-01-17 19:42:45,MISC,NW30 / 224 ALBANY ST,Officer taking a report for broken glass on door. ,
2017-01-18 08:00:00,CLOSED,2017-01-18 11:00:06,ANNOYING EMAIL,M36 / 50 VASSAR ST,Reporting party received a suspicious fax. ,
2017-01-19 00:23:00,CLOSED,2017-01-19 00:23:02,HOMELESS,E23 / 25 CARLTON ST,Reporting party states possible homeless male sleeping in the stairwell. Subject was removed without incident. ,
2017-01-19 02:52:00,ARREST,2017-01-19 02:52:41,WARRANT SERVICE,M14 / 160 MEMORIAL DR,"Reporting party states possible homeless person sleeping in stairwell. ARREST: Timothy Norling (58) of 28 Prescott Street A, Cambridge MA on two outstanding warrants. ",
2017-01-19 13:36:00,OPEN,2017-01-19 13:36:36,LARCENY,W20 / 84 MASSACHUSETTS AVE,Reporting party states an unknown individual stolen cash from the tip jar. ,
2017-01-19 12:00:00,OPEN,2017-01-19 17:58:57,LARCENY,E2 / 70 AMHERST ST,Reporting party reports theft of a wallet. ,
2017-01-20 08:55:00,CLOSED,2017-01-20 15:58:07,SUSPICIOUS,M3 / 33 MASSACHUSETTS AVE,Reporting party states food has been missing from the conference room kitchen. ,
2017-01-18 13:00:00,OPEN,2017-01-20 16:54:28,LARCENY,M32 / 32 VASSAR ST,Reporting party states his iPad was stolen from an unsecured classroom. ,
2017-01-21 00:06:00,ARREST,2017-01-21 00:06:24,TRESPASS,M14 / 160 MEMORIAL DR,"While conducting a routine building check, officers came across a male party who has been previously trespassed. ARREST: David SCRIMA (56) of 15 Range Road, Windham NH, was arrested for trespassing ",
2017-01-21 09:18:00,ARREST,2017-01-21 04:28:33,BREAKING & ENTERING,W61 / 450 MEMORIAL DR,"Reporting party states an unknown person walked into apartment. ARREST: Connor SULLIVAN (18) of 450 Memorial Drive, Cambridge, MA was arrested for B&E Nighttime and Assault. ",
